Short Name,Dataset,Root request,Root request status,Root request priority,Root request done events,Root request total events,Root request output,MiniAOD status,MiniAOD priority,MiniAOD done events,MiniAOD total events,MiniAOD output,NanoAOD status,NanoAOD priority,NanoAOD done events,NanoAOD total events,NanoAOD output,Chained request,Interested PWGs,Tags
BdToTauTo3Mu,BdToTauTo3Mu_MuFilter_SoftQCDinelastic_TuneCP5_13p6TeV-pythia8-evtgen,TSG-Run3Winter24GS-00114,done,300000,490926,500000,/BdToTauTo3Mu_MuFilter_SoftQCDinelastic_TuneCP5_13p6TeV-pythia8-evtgen/Run3Winter24GS-133X_mcRun3_2024_realistic_v7-v2/GEN-SIM,done,300000,490926,500000,/BdToTauTo3Mu_MuFilter_SoftQCDinelastic_TuneCP5_13p6TeV-pythia8-evtgen/Run3Winter24MiniAOD-133X_mcRun3_2024_realistic_v8-v2/MINIAODSIM,done,300000,490926,500000,/BdToTauTo3Mu_MuFilter_SoftQCDinelastic_TuneCP5_13p6TeV-pythia8-evtgen/Run3Winter24NanoAOD-133X_mcRun3_2024_realistic_v8-v2/NANOAODSIM,TSG-chain_Run3Winter24GS_flowRun3Winter24Digi_flowRun3Winter24Reco_flowRun3Winter24MiniAOD_flowRun3Winter24NanoAOD-00021,TSG,
BdToTauTo3Mu,BdToTauTo3Mu_MuFilter_SoftQCDinelastic_TuneCP5_13p6TeV_pythia8-evtgen,TSG-Run3Winter24GS-00222,done,300000,445527,450000,/BdToTauTo3Mu_MuFilter_SoftQCDinelastic_TuneCP5_13p6TeV_pythia8-evtgen/Run3Winter24GS-133X_mcRun3_2024_realistic_v7-v2/GEN-SIM,done,300000,445527,450000,/BdToTauTo3Mu_MuFilter_SoftQCDinelastic_TuneCP5_13p6TeV_pythia8-evtgen/Run3Winter24MiniAOD-133X_mcRun3_2024_realistic_v8-v2/MINIAODSIM,done,300000,445527,450000,/BdToTauTo3Mu_MuFilter_SoftQCDinelastic_TuneCP5_13p6TeV_pythia8-evtgen/Run3Winter24NanoAOD-133X_mcRun3_2024_realistic_v8-v2/NANOAODSIM,TSG-chain_Run3Winter24GS_flowRun3Winter24Digi_flowRun3Winter24Reco_flowRun3Winter24MiniAOD_flowRun3Winter24NanoAOD-00123,TSG,
BsToJpsiPhi,BsToJpsiPhi_KMuFilter_SoftQCDnonD_TuneCP5_13p6TeV-pythia8-evtgen,TSG-Run3Winter24GS-00125,done,300000,94514,100000,/BsToJpsiPhi_KMuFilter_SoftQCDnonD_TuneCP5_13p6TeV-pythia8-evtgen/Run3Winter24GS-133X_mcRun3_2024_realistic_v7-v2/GEN-SIM,done,300000,94514,100000,/BsToJpsiPhi_KMuFilter_SoftQCDnonD_TuneCP5_13p6TeV-pythia8-evtgen/Run3Winter24MiniAOD-133X_mcRun3_2024_realistic_v8-v2/MINIAODSIM,done,300000,94514,100000,/BsToJpsiPhi_KMuFilter_SoftQCDnonD_TuneCP5_13p6TeV-pythia8-evtgen/Run3Winter24NanoAOD-133X_mcRun3_2024_realistic_v8-v2/NANOAODSIM,TSG-chain_Run3Winter24GS_flowRun3Winter24Digi_flowRun3Winter24Reco_flowRun3Winter24MiniAOD_flowRun3Winter24NanoAOD-00032,TSG,
BsToJpsiPhi,BsToJpsiPhi_KMuFilter_SoftQCDnonD_TuneCP5_13p6TeV_pythia8-evtgen,TSG-Run3Winter24GS-00233,done,300000,85407,90000,/BsToJpsiPhi_KMuFilter_SoftQCDnonD_TuneCP5_13p6TeV_pythia8-evtgen/Run3Winter24GS-133X_mcRun3_2024_realistic_v7-v2/GEN-SIM,done,300000,85407,90000,/BsToJpsiPhi_KMuFilter_SoftQCDnonD_TuneCP5_13p6TeV_pythia8-evtgen/Run3Winter24MiniAOD-133X_mcRun3_2024_realistic_v8-v2/MINIAODSIM,done,300000,85407,90000,/BsToJpsiPhi_KMuFilter_SoftQCDnonD_TuneCP5_13p6TeV_pythia8-evtgen/Run3Winter24NanoAOD-133X_mcRun3_2024_realistic_v8-v2/NANOAODSIM,TSG-chain_Run3Winter24GS_flowRun3Winter24Digi_flowRun3Winter24Reco_flowRun3Winter24MiniAOD_flowRun3Winter24NanoAOD-00134,TSG,
BsToMuMuG,BsToMuMuG_MuGFilter_SoftQCDnonD_TuneCP5_13p6TeV-pythia8-evtgen,TSG-Run3Winter24GS-00115,done,200000,510945,500000,/BsToMuMuG_MuGFilter_SoftQCDnonD_TuneCP5_13p6TeV-pythia8-evtgen/Run3Winter24GS-133X_mcRun3_2024_realistic_v7-v2/GEN-SIM,done,200000,510945,500000,/BsToMuMuG_MuGFilter_SoftQCDnonD_TuneCP5_13p6TeV-pythia8-evtgen/Run3Winter24MiniAOD-133X_mcRun3_2024_realistic_v8-v2/MINIAODSIM,done,200000,510945,500000,/BsToMuMuG_MuGFilter_SoftQCDnonD_TuneCP5_13p6TeV-pythia8-evtgen/Run3Winter24NanoAOD-133X_mcRun3_2024_realistic_v8-v2/NANOAODSIM,TSG-chain_Run3Winter24GS_flowRun3Winter24Digi_flowRun3Winter24Reco_flowRun3Winter24MiniAOD_flowRun3Winter24NanoAOD-00022,TSG,
BsToMuMuG,BsToMuMuG_MuGFilter_SoftQCDnonD_TuneCP5_13p6TeV_pythia8-evtgen,TSG-Run3Winter24GS-00237,done,300000,457816,450000,/BsToMuMuG_MuGFilter_SoftQCDnonD_TuneCP5_13p6TeV_pythia8-evtgen/Run3Winter24GS-rndm_133X_mcRun3_2024_realistic_v7-v2/GEN-SIM,done,300000,457816,450000,/BsToMuMuG_MuGFilter_SoftQCDnonD_TuneCP5_13p6TeV_pythia8-evtgen/Run3Winter24MiniAOD-rndm_133X_mcRun3_2024_realistic_v8-v2/MINIAODSIM,done,300000,457816,450000,/BsToMuMuG_MuGFilter_SoftQCDnonD_TuneCP5_13p6TeV_pythia8-evtgen/Run3Winter24NanoAOD-rndm_133X_mcRun3_2024_realistic_v8-v2/NANOAODSIM,TSG-chain_Run3Winter24GS_flowRun3Winter24Digi_flowRun3Winter24Reco_flowRun3Winter24MiniAOD_flowRun3Winter24NanoAOD-00138,TSG,
BsToTauTau,BsToTauTau_MuFilter_SoftQCDnonD_TuneCP5_13p6TeV-pythia8-evtgen,TSG-Run3Winter24GS-00123,done,300000,202838,200000,/BsToTauTau_MuFilter_SoftQCDnonD_TuneCP5_13p6TeV-pythia8-evtgen/Run3Winter24GS-133X_mcRun3_2024_realistic_v7-v2/GEN-SIM,done,300000,202838,200000,/BsToTauTau_MuFilter_SoftQCDnonD_TuneCP5_13p6TeV-pythia8-evtgen/Run3Winter24MiniAOD-133X_mcRun3_2024_realistic_v8-v2/MINIAODSIM,done,300000,202838,200000,/BsToTauTau_MuFilter_SoftQCDnonD_TuneCP5_13p6TeV-pythia8-evtgen/Run3Winter24NanoAOD-133X_mcRun3_2024_realistic_v8-v2/NANOAODSIM,TSG-chain_Run3Winter24GS_flowRun3Winter24Digi_flowRun3Winter24Reco_flowRun3Winter24MiniAOD_flowRun3Winter24NanoAOD-00030,TSG,
BsToTauTau,BsToTauTau_MuFilter_SoftQCDnonD_TuneCP5_13p6TeV_pythia8-evtgen,TSG-Run3Winter24GS-00229,done,300000,183124,180000,/BsToTauTau_MuFilter_SoftQCDnonD_TuneCP5_13p6TeV_pythia8-evtgen/Run3Winter24GS-133X_mcRun3_2024_realistic_v7-v2/GEN-SIM,done,300000,183124,180000,/BsToTauTau_MuFilter_SoftQCDnonD_TuneCP5_13p6TeV_pythia8-evtgen/Run3Winter24MiniAOD-133X_mcRun3_2024_realistic_v8-v2/MINIAODSIM,done,300000,183124,180000,/BsToTauTau_MuFilter_SoftQCDnonD_TuneCP5_13p6TeV_pythia8-evtgen/Run3Winter24NanoAOD-133X_mcRun3_2024_realistic_v8-v2/NANOAODSIM,TSG-chain_Run3Winter24GS_flowRun3Winter24Digi_flowRun3Winter24Reco_flowRun3Winter24MiniAOD_flowRun3Winter24NanoAOD-00130,TSG,
BuToKee,BuToKee_SoftQCDnonD_TuneCP5_13p6TeV-pythia8-evtgen,TSG-Run3Winter24GS-00103,done,300000,987085,1000000,/BuToKee_SoftQCDnonD_TuneCP5_13p6TeV-pythia8-evtgen/Run3Winter24GS-133X_mcRun3_2024_realistic_v7-v2/GEN-SIM,done,300000,987085,1000000,/BuToKee_SoftQCDnonD_TuneCP5_13p6TeV-pythia8-evtgen/Run3Winter24MiniAOD-133X_mcRun3_2024_realistic_v8-v2/MINIAODSIM,done,300000,987085,1000000,/BuToKee_SoftQCDnonD_TuneCP5_13p6TeV-pythia8-evtgen/Run3Winter24NanoAOD-133X_mcRun3_2024_realistic_v8-v2/NANOAODSIM,TSG-chain_Run3Winter24GS_flowRun3Winter24Digi_flowRun3Winter24Reco_flowRun3Winter24MiniAOD_flowRun3Winter24NanoAOD-00010,TSG,
BuToKee,BuToKee_SoftQCDnonD_TuneCP5_13p6TeV_pythia8-evtgen,TSG-Run3Winter24GS-00226,done,300000,890590,900000,/BuToKee_SoftQCDnonD_TuneCP5_13p6TeV_pythia8-evtgen/Run3Winter24GS-rndm_133X_mcRun3_2024_realistic_v7-v2/GEN-SIM,done,300000,890590,900000,/BuToKee_SoftQCDnonD_TuneCP5_13p6TeV_pythia8-evtgen/Run3Winter24MiniAOD-rndm_133X_mcRun3_2024_realistic_v8-v2/MINIAODSIM,done,300000,890590,900000,/BuToKee_SoftQCDnonD_TuneCP5_13p6TeV_pythia8-evtgen/Run3Winter24NanoAOD-rndm_133X_mcRun3_2024_realistic_v8-v2/NANOAODSIM,TSG-chain_Run3Winter24GS_flowRun3Winter24Digi_flowRun3Winter24Reco_flowRun3Winter24MiniAOD_flowRun3Winter24NanoAOD-00127,TSG,
BuToKJPsiMuMu,BuToKJPsiMuMu_SoftQCDnonD_TuneCP5_13p6TeV-pythia8-evtgen,TSG-Run3Winter24GS-00255,new,20000,-1,1000000,,,0,0,0,,,0,0,0,,,"BPH, TSG",
BuToTauTo3Mu,BuToTauTo3Mu_MuFilter_TuneCP5_13p6TeV-pythia8-evtgen,TSG-Run3Winter24GS-00113,done,300000,482856,500000,/BuToTauTo3Mu_MuFilter_TuneCP5_13p6TeV-pythia8-evtgen/Run3Winter24GS-133X_mcRun3_2024_realistic_v7-v2/GEN-SIM,done,300000,482856,500000,/BuToTauTo3Mu_MuFilter_TuneCP5_13p6TeV-pythia8-evtgen/Run3Winter24MiniAOD-133X_mcRun3_2024_realistic_v8-v2/MINIAODSIM,done,300000,482856,500000,/BuToTauTo3Mu_MuFilter_TuneCP5_13p6TeV-pythia8-evtgen/Run3Winter24NanoAOD-133X_mcRun3_2024_realistic_v8-v2/NANOAODSIM,TSG-chain_Run3Winter24GS_flowRun3Winter24Digi_flowRun3Winter24Reco_flowRun3Winter24MiniAOD_flowRun3Winter24NanoAOD-00020,TSG,
BuToTauTo3Mu,BuToTauTo3Mu_MuFilter_TuneCP5_13p6TeV_pythia8-evtgen,TSG-Run3Winter24GS-00221,done,300000,437187,450000,/BuToTauTo3Mu_MuFilter_TuneCP5_13p6TeV_pythia8-evtgen/Run3Winter24GS-133X_mcRun3_2024_realistic_v7-v2/GEN-SIM,done,300000,403295,450000,/BuToTauTo3Mu_MuFilter_TuneCP5_13p6TeV_pythia8-evtgen/Run3Winter24MiniAOD-133X_mcRun3_2024_realistic_v8-v2/MINIAODSIM,done,300000,437187,450000,/BuToTauTo3Mu_MuFilter_TuneCP5_13p6TeV_pythia8-evtgen/Run3Winter24NanoAOD-133X_mcRun3_2024_realistic_v8-v2/NANOAODSIM,TSG-chain_Run3Winter24GS_flowRun3Winter24Digi_flowRun3Winter24Reco_flowRun3Winter24MiniAOD_flowRun3Winter24NanoAOD-00122,TSG,
DisplacedMuons,DisplacedMuons_PT-10to30_Dxy-0to3000_gun,TSG-Run3Winter24GS-00130,done,300000,100000,100000,/DisplacedMuons_PT-10to30_Dxy-0to3000_gun/Run3Winter24GS-133X_mcRun3_2024_realistic_v7-v2/GEN-SIM,done,300000,100000,100000,/DisplacedMuons_PT-10to30_Dxy-0to3000_gun/Run3Winter24MiniAOD-133X_mcRun3_2024_realistic_v8-v2/MINIAODSIM,done,300000,100000,100000,/DisplacedMuons_PT-10to30_Dxy-0to3000_gun/Run3Winter24NanoAOD-133X_mcRun3_2024_realistic_v8-v2/NANOAODSIM,TSG-chain_Run3Winter24GS_flowRun3Winter24Digi_flowRun3Winter24Reco_flowRun3Winter24MiniAOD_flowRun3Winter24NanoAOD-00037,TSG,
DisplacedMuons,DisplacedMuons_PT-2to10_Dxy-0to3000_gun,TSG-Run3Winter24GS-00129,done,300000,97690,100000,/DisplacedMuons_PT-2to10_Dxy-0to3000_gun/Run3Winter24GS-133X_mcRun3_2024_realistic_v7-v2/GEN-SIM,done,300000,97690,100000,/DisplacedMuons_PT-2to10_Dxy-0to3000_gun/Run3Winter24MiniAOD-133X_mcRun3_2024_realistic_v8-v2/MINIAODSIM,done,300000,97690,100000,/DisplacedMuons_PT-2to10_Dxy-0to3000_gun/Run3Winter24NanoAOD-133X_mcRun3_2024_realistic_v8-v2/NANOAODSIM,TSG-chain_Run3Winter24GS_flowRun3Winter24Digi_flowRun3Winter24Reco_flowRun3Winter24MiniAOD_flowRun3Winter24NanoAOD-00036,TSG,
DisplacedMuons,DisplacedMuons_PT-30to100_Dxy-0to3000_gun,TSG-Run3Winter24GS-00131,done,200000,100000,100000,/DisplacedMuons_PT-30to100_Dxy-0to3000_gun/Run3Winter24GS-133X_mcRun3_2024_realistic_v7-v2/GEN-SIM,done,200000,100000,100000,/DisplacedMuons_PT-30to100_Dxy-0to3000_gun/Run3Winter24MiniAOD-133X_mcRun3_2024_realistic_v8-v2/MINIAODSIM,done,200000,100000,100000,/DisplacedMuons_PT-30to100_Dxy-0to3000_gun/Run3Winter24NanoAOD-133X_mcRun3_2024_realistic_v8-v2/NANOAODSIM,TSG-chain_Run3Winter24GS_flowRun3Winter24Digi_flowRun3Winter24Reco_flowRun3Winter24MiniAOD_flowRun3Winter24NanoAOD-00038,TSG,
DoubleElectron,DoubleElectron_Pt-1To300_gun,TSG-Run3Winter24GS-00215,done,300000,9851990,10000000,/DoubleElectron_Pt-1To300_gun/Run3Winter24GS-133X_mcRun3_2024_realistic_v7-v2/GEN-SIM,done,300000,9522036,10000000,/DoubleElectron_Pt-1To300_gun/Run3Winter24MiniAOD-FlatPU0to80_133X_mcRun3_2024_realistic_v8-v2/MINIAODSIM,done,300000,9790620,10000000,/DoubleElectron_Pt-1To300_gun/Run3Winter24NanoAOD-FlatPU0to80_133X_mcRun3_2024_realistic_v8-v2/NANOAODSIM,TSG-chain_Run3Winter24GS_flowRun3Winter24DigiFlatPU0to80_flowRun3Winter24Reco_flowRun3Winter24MiniAOD_flowRun3Winter24NanoAOD-00001,TSG,
DoubleElectron,DoubleElectron_Pt-1To300_gun,TSG-Run3Winter24GS-00215,done,300000,9851990,10000000,/DoubleElectron_Pt-1To300_gun/Run3Winter24GS-133X_mcRun3_2024_realistic_v7-v2/GEN-SIM,done,110001,9724196,9851990,/DoubleElectron_Pt-1To300_gun/Run3Winter24MiniAOD-FlatPU0to120_133X_mcRun3_2024_realistic_v9-v2/MINIAODSIM,done,300000,9724196,9851990,/DoubleElectron_Pt-1To300_gun/Run3Winter24NanoAOD-FlatPU0to120_133X_mcRun3_2024_realistic_v9-v2/NANOAODSIM,TSG-chain_Run3Winter24GS_flowRun3Winter24DigiFlatPU0to120_flowRun3Winter24Reco_flowRun3Winter24MiniAOD_flowRun3Winter24NanoAOD-00002,TSG,
DoubleElectron,DoubleElectron_Pt-1To300_gun,TSG-Run3Winter24GS-00215,done,300000,9851990,10000000,/DoubleElectron_Pt-1To300_gun/Run3Winter24GS-133X_mcRun3_2024_realistic_v7-v2/GEN-SIM,done,300000,9765350,9851990,/DoubleElectron_Pt-1To300_gun/Run3Winter24MiniAOD-NoPU_133X_mcRun3_2024_realistic_v9-v3/MINIAODSIM,done,300000,9765350,9851990,/DoubleElectron_Pt-1To300_gun/Run3Winter24NanoAOD-NoPU_133X_mcRun3_2024_realistic_v9-v3/NANOAODSIM,TSG-chain_Run3Winter24GS_flowRun3Winter24DigiNoPU_flowRun3Winter24Reco_flowRun3Winter24MiniAOD_flowRun3Winter24NanoAOD-00007,TSG,
DoubleMuon,DoubleMuon_Pt-1To1000-gun,TSG-Run3Winter24GS-00100,done,300000,857048,900000,/DoubleMuon_Pt-1To1000-gun/Run3Winter24GS-133X_mcRun3_2024_realistic_v7-v2/GEN-SIM,done,300000,856281,900000,/DoubleMuon_Pt-1To1000-gun/Run3Winter24MiniAOD-133X_mcRun3_2024_realistic_v8-v2/MINIAODSIM,done,300000,857048,900000,/DoubleMuon_Pt-1To1000-gun/Run3Winter24NanoAOD-133X_mcRun3_2024_realistic_v8-v2/NANOAODSIM,TSG-chain_Run3Winter24GS_flowRun3Winter24Digi_flowRun3Winter24Reco_flowRun3Winter24MiniAOD_flowRun3Winter24NanoAOD-00007,TSG,
